,review_id,user_id,business_id,stars_x,date,text,useful,funny,cool,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,categories
0,j40i3mS8EfEcZiqAxCCH2g,4EvMmwNoIcVCQapOGtOupg,2weQS-RnoOBhb1KsHKyoSQ,4,2012-08-22,"Beautiful French decor and a spacious dining room.  We had dinner which was $39.99 after tax.  The food is great - they have a bit of literally everything - seafood, salads, Chinese dim sum, sushi, Thai noodles, Italian, Southern, gluten-free, cheeses, soups, steaks, American, Italian, pizza, and DESSERTS!  Pretty tasty food overall but again, not over the top impressive. Great desserts - creme brulee, gelatos, madeleines, and adorable parfait-style desserts of all kinds.  Well presented and does not feel like you are eating at the trough - which many buffets tend to do.",0,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
1,tlF0wZa276M49zqn5zvGZA,mqzisCyZ_tlpQt6HkNnhOw,2weQS-RnoOBhb1KsHKyoSQ,4,2013-05-07,"I came for breakfast on Monday morning at around 10:30 and it was $20 per person. I would recommend coming around this time if you can because you pay the breakfast price and get to eat both breakfast and lunch! Sodas and juices are included in the price of the buffet as well. My favorite things that I tried were the roasted cauliflower, corn, and mango sorbet. Everything tasted pretty average and nothing really stood out to me taste wise. I personally liked the Wicked Spoon Buffet in the Cosmopolitan better but this buffet is definitely worth a try!",1,0,1,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
2,V4KasiarjgdbbWVU7vwBPg,lGDQqkKNcCw-jjE-pBZ1kA,2weQS-RnoOBhb1KsHKyoSQ,5,2010-03-10,"Completely insane.  That's the only way I can explain this place.  It's expensive...when I went for dinner it was around $35 per person.  But believe me, this place is worth it.  The selection was great, quality of food outstanding, and more desserts than you'll ever know what to do with.  Don't let the price turn you off, if you go to one buffet in Vegas check this one out!",0,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
3,ZpgJn8dIJdv8_g3ozZJ3HA,uG7N6k70isjKxpbjUox3CQ,2weQS-RnoOBhb1KsHKyoSQ,4,2011-06-21,"Just went there last weekend and got there around 6pm and there's no line! It was about $45\/person after tax and the food was great! Good selection. Funny enough, the line formed inside - everyone was lining up for the crab legs station! Highly recommend it to anyone who loves buffet!",0,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
4,vuqppKcwvSypBtVpgvuomw,-M6U_1QjisNKlHpQ_tWDmg,2weQS-RnoOBhb1KsHKyoSQ,5,2010-04-06,"Wonderful restaurant. More affordable for weekday lunch. Get in line before 2:45pm if you want to get dinner menu on lunch prices. Alaskan Crab leg are good, not too salty. Prime Rim is the best, unexpectedly tender. Pasta Station is wonderful, good portions too. Sushi and Chinese stations are mediocre. Sea Bass and other hot seafood dishes are delicious, served in tiny bite size for better sampling. Save your appetite for deserts too. Creme Brulee, Tiramisu are on the top of my list. Definitely going back for more.",1,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
5,AqKBBrb3smsOFwY8GKwMLQ,ZwHE01vJN7Zod17adEw8Kw,2weQS-RnoOBhb1KsHKyoSQ,3,2011-07-02,"I went super early for dinner here so there was no wait, but there was a long line as we were leaving. The restaurant has lots of seating, so I don't imagine the wait is too long.

There's a nice salad bar, several different soups, antipasto selections, various buns and bread, pastas as well as a custom pasta station where the chefs make your pasta right in front of you. At the meat carving station, I believe each day they have different options. The day I went, it was turkey and prime rib. The prime rib was AMAZING. It was so tender, and done medium rare, just the way I like it. I had to go back for seconds, it was that good. 

There's a few selections of Indian cuisine as well as Chinese, sushi, and a chilled seafood section (of course, Alaskan king crab legs).

The desserts are in an entirely different section, where it's like its own separate shop full o' sweet things.Gelato, cakes, baked goods, fresh fruit, and a crepe station.

The rating is a little low because while the selection was great, the tastes of the food wasn't as great. The custom tom yum soup was super salty, the veal shortribs were a tad dry, and the stir fried Asian vegetables were absolutely soaked in oil and probably had more than its fair share of MSG. The desserts didn't get any better either: the red velvet cupcakes were dry, most of the cakes were way too sweet, and there was something off about the crepes. It could've been the chocolate sauce, or the strong taste of Pam that the chef used to make the crepe.

Despite some of the lackluster food, I did enjoy the butternut squash risotto, the orecchiette with creamy pesto sauce, and of course, the prime rib (I'll be dreaming about it for months). The baked chocolate brownie was yummy despite the nuts, and the gelato was delicious.

$40 for dinner is a pretty standard Vegas buffet price, and with the Wynn, the ingredients they use are not as common (or cheap) as what other hotel buffets offer, so it's a good deal. I just wasn't completely blown away by the food.",0,0,1,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
6,9BCZCOasNvKMMbcQ9ct--Q,rSMTp4LuRd3dQP91AfDUVQ,2weQS-RnoOBhb1KsHKyoSQ,4,2011-08-06,"I'm not a fan of buffets but this one is awesome! All you can eat crab legs for only $37?!?! I'm down! Their selection is small, but I think it should be about quality, not quantity. 

Their dessert is kinda eh. I have a huge sweet tooth and took almost all their sweets. I would have a small bite of each and would get over it. Not that big of a deal. I wouldn't waste my time and just go for the ice cream. The bread pudding was good as well. My friend was obsessing over her crepe so those should be good too.",1,0,1,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
7,5BH6cIFrxMi7CX4mxVZAzA,IKc5b49m2Vd4QV3RIHqgRA,2weQS-RnoOBhb1KsHKyoSQ,2,2015-07-13,"Over priced for subpar food. The environment itself was great, however my group and I struggled to find any food item that was decent. Each and every item was either over cooked and\/or like licking a salt cube. The only thing that really was edible was the prime rib, which was average. The desserts were horrible as well, with rice crispy treats, sub par ice cream, with the chocolate cookies as the best thing there. If you are going to spend your money on a buffet, there are much better ones at other hotels for similar costs. I will not be returning to this one.",0,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
8,4dcUYD99zLKxUk851wtgvw,ntKnZu6Ug3w37CqHXagj7Q,2weQS-RnoOBhb1KsHKyoSQ,4,2017-04-02,"Went here for the breakfast buffet before leaving Vegas. It's in the Wynn hotel which is a beautiful hotel and so was the restaurant where the buffet is located. Gorgeous flower arrangements everywhere and cute decor. I felt like I was at a girlie tea party lol. I got a little of everything. Lots of choices omelet station,carving station,Asian station,shrimp and clam station. The raw clams didn't look fresh so I stayed away from those. One star off for that. Dessert station was good. Solid spot,but won't be back since I want to try other buffets when I go back to Vegas.",0,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
9,yUMQzYn2W6eNjMgWLaGbLw,XloQQAylbWibN34uWfh70w,2weQS-RnoOBhb1KsHKyoSQ,5,2012-01-27,"The Wynn Buffet IS The Best Buffet in Vegas - the variety of food, preparation and the environment, all were excellent. (Outstanding rack of lamb, veal and 5 different ceviches. All could stand alone at any fine dining establishment and this is their buffet!) Don't forget to get the bar drink menu.  They have an unlimited ""sparkling wine\/champagne and\/or mimosas deal for $10. available all the time not just at brunch. A GREAT VALUE

This is a Must-See and Go-to!",1,0,0,"""The Buffet""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1268872232,-115.165590048,3.5,4018,1,Buffets;Restaurants
