,Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
0,9562910334,1984,,A20VXF9DYI0I6H,J. Norburn,0/1,4.0,1156896000,"Unflinching, uncompromising - and yes, a little preachy","This is one of those rare books that isn't necessarily a pleasure to read but is definitely worth reading. Orwell's novel manages to affect you long after you've read it - possibly even haunt you. It's a bleak novel (some might say downright depressing) - but it's also powerful and uncompromising.Over 50 years have passed since 1984 was published (the year itself came and went over 20 years ago) yet this novel is still relevant today. 1984 is a remarkably ambitious work; unflinching and perceptive. Orwell isn't just telling a story though; he is using this novel as a soap box to warn us all of the dangers of totalitarian governments.1984 is a novel about big ideas; about the machinery of totalitarian governments and how people can be manipulated and controlled by those in power. I did find however that the characters weren't as developed as I would have liked, as if Orwell felt they were a secondary consideration. As a result, I found the novel lacked a personal quality that I think would have made it all the more compelling. Winston Smith is not an especially sympathetic character (or for that matter, all that memorable a character). What is memorable about 1984 is the world Orwell creates - a world of contradiction, oppression, and betrayal.This is not a book that will bring a smile to your face. Its message is delivered with a heavy hand but 1984 will make you think. If it doesn't make you paranoid, it should at least make you cynical."
1,9562910334,1984,,A2C4WZEWXKXQON,"D. M. Z. ""Dee Zee""",1/2,5.0,1277337600,Perfect,This is such a great book! I ordered it on cassette so that I could listen to it on a long road trip and the product arrived right on time in great condition.
2,9562910334,1984,,A2JPT2LH3AVA1A,Mr. Chris,0/1,5.0,1029283200,More than just entertaining...,There are many works where the story is the content. These books are usually for entertainment. This book uses the story to deliver its content. It uses the story to illustrate some awsome philosophical ideas. By presenting the ideas in a story they are easier to understand and they are more entertaining.I could not put the book down as I got towards the end. This is the only book I have ever read that has given me the shakes.
3,9562910334,1984,,A1KVQGI88RA90Q,"Rebecca ""Rebecca""",0/1,5.0,1212105600,Is this Bush and Ahmadinejad's playbook?,"I never read Orwell in school for some reason and I am glad I waited. I can't believe this was written in the late 40's. O'Brien's descriptions of seeking power for power's sake and the mutability of truth and history have never been more applicable to current events. Reading this book now, you really start to feel like this must be on Karl Rove's desk."
4,9562910334,1984,,AESAZJGNDPRBY,"Laura Wright ""Laurawrites~net""",1/1,5.0,1214870400,Amazing,"Orwell was a pioneer in this form of literature. His insight into a ""possible"" future held more accuracy than I'm sure even he imagined.The book is a struggle of man vs. ministry. How far will the few in positions of power go to improve their personal ideals in the guise of overall social improvement?I would recommend this to anyone who enjoys dark themes. The ending had me in tears."
5,9562910334,1984,,A1ARA52HB238HT,"Matthew M. Yau ""Voracious reader""",2/3,4.0,1073088000,1984 or 2004?,"Eric Blair's 1984 is not only his finest work but also one of the most influential and provocative books of our time. The work obviates to us to full actuality how the world had evolved for the worse during the dark period from 1932 to 1949. Winston Smith and O'Brien are the most important characters whose keystone dialogue raises alert for the prospect of human future.Prophecy or Caution?While we might prefer to interpret ""1984"" as a precautionary tale or some social warning, bloodshed, warfare, massive torture and murder, not to mention Stalin's cruelty, the Nazi mechanized techniques of organized massacre, the Cambodian, the Iranian and the Iraqi, the North Korean, and all the other countless horrors, have inevitably to a certain degree changed ""1984"" from caution to warning, further elevating the work to a 20th century prophecy.Despair about Future of ManA sense of hopelessness about the future of man hovers over the book. In a way ""1984"" is an expression of such a hopeless mood about the bleak future of man. It warns readers that unless the course of history (and leaderships) changes men all over the world will forfeit most of their human qualities and become soulless automatons without being aware of the depravity.In the Winston Smith-O'Brien dialogue, ""Imagine a boot stamping on the human face-forever"" might have exaggerated the current state of human soulness. The 20th century history has confirmed and fulfilled dehumanized practices as mentioned in ""1984"" like 24/7 surveillance of all sounds, activities, and conversations; deprivation of freedom of speech, penitence for thought crime and wiping out of existence and memory and thus forfeiting any way to make appeal to future. For example, a Party member lived from birth to death under the eye of the Thought Police. Even when he was alone he could never be sure he was alone. Wherever he may be, he could be inspected without warning and without knowing that he was being inspected.The Party tacitly encouraged prostitution as such outlets for instincts that could not be altogether suppressed. This unforgivable crime was promiscuity between Party members in order to remove all pleasure from sexual act. Even to his wife, a Party member was expected to have no private emotions and no respites from enthusiasm. A real romantic love affair was all it took to crumple the Party. Desire was deemed thought crime, which entailed death.The Party saw that it was not infallible and that all its belief rested on the omnipotent Big Brother. It therefore called for an unwearying, moment-to-moment flexibility in the treatment of facts-alteration of the past and rewrite of history in order to wipe out existence of certain human beings and historical facts. It was not merely that speeches, statistics, and records of every kind must be constantly brought up to date in order to show that the predictions of the Party were in all cases accurate. It was also that no change of doctrine or in political alignment could ever be admitted. Whatever the Party held to be truth was truth. It was impossible to see reality except by looking through the eyes of the Party.Notwithstanding the Party contrived to have its way and imbued the belief in people, how could the Party control people's memory? The Party had wiped out most of the older generation during the great purges and the few who survived had long ago been terrified into complete intellectual surrender (sounds familiar like the Chinese Cultural Revolution?) When memory failed and written records were falsified, the claim of the Party to have improved the conditions of human life had got to be accepted, because there did not exist, and never again could exist, any standard against which it could be tested.""1984"" is meant to be read as a warning, an exhortation, and not so much prophesy. However exaggerated and haunting the negative utopia is being depicted, the book is a startling work of an imaginary world that is convincing. 4.0 stars.2004 (4)"
6,9562910334,1984,,ADF2EY2ET0MD6,Nicole,0/3,5.0,1040256000,My &quot;1984&quot; Review,"I think that the book &quot;1984&quot;, written by George Orwell was a book that raised many questions. It was a book about a man fighting for his rights only to fine out he had to give in a bit. &quot;1984&quot; was a book that captured me into its story and I couldn't stop reading. I highly recommend this book to someone looking for a challenge and a well written book!"
7,9562910334,1984,,A3JD07VHDLT5FF,"isala ""Isabel and Lars""",5/7,5.0,1089504000,A warning that has not been heeded,"Orwell wanted to warn his readers about the danger of totalitarian regimes. The promises of the fascist and nazi ideologies had misled millions and thrown the world into the ravages of the second world war. Stalinist Soviet Union was seen by many as a model state. Orwell knew far too well what was hidden beneath the promises of security, bread, and jobs for all.1984 has become a household name as few other books; who does not know about Big Brother, or the Thought Police, nowadays? Even the title has become a catchphrase. I do not know any other cult-book that has been so thoroughly ripped apart by other famous authors; I remember Isaac Asimov thrashing it in the nineteen-eighties for instance. Many seem to believe that the society described by Orwell is an impossibility. The problem with the book is that Orwell thought his society would be a product of revolutions. When instead, in reality, the changes creep upon us. A new law here, a small change to statutes there.The most obvious paralell to the book we have now is, of course, the war on terror. We have from top officials that it is going to go on for a long time, and that it is, essentially, unwinable. Readers of 1984 of course recognize the eternal war described in the book. Another paralell is how history changes; Winston Smith's job is to rewrite history so that it suits the present situation. Don't we recognize that? In the ninetenn-eighties, Iraq was our ally; now, Iraq has always been our enemy. Thought Police, I need not even mention this; the administration knows everything about us, and is prepared to use it.We even have paralells to the Anti-Sex movement! The list can just go on.Orwell's book was a cry for reason in the aftermath of a world gone mad. As with so many other cries for reason it disappears among the siren calls of our leaders.I first read it over twenty years ago, in a different world; it was good then - it should be essential reading now!"
8,9562910334,1984,,A20WLDH5XV1L07,"Bill Warren ""Informed Papa""",1/2,5.0,1253923200,NINETEEN EIGHTY-FOUR,"A very well written piece of literature for its time. In light of the current state of affairs, it is rather frightening. It was a good read in High School and an even better fread today."
9,9562910334,1984,,A2XZNI0EEYOPUN,"Captain Solaris Lyra Corthon ""Solairs""",1/8,5.0,1152230400,Wilson Welcome To Room 101,I love distopian Novels dont you???The way the magick of the words float off the page and into your minds eye.Warning you that any or all of these distopian futures can occur.Depending on your quantum view point.Welcome to Room 101 Wilson says O'Brien...I am not going to go into a full synopsis of the book. Thats just lame and a waste of time.Basically if you want to see a socialist agenda for world police state control. Or should i say the illuminati agenda.Then read this book; i know i did when i used to be paranoid about the NWO.When i reread the book next time and maybe for the last time; will i when i lift my head off the page be living in that world or imagining it???Every day; i feel we are approching and reproching ourselves towards 1984's police state and totalitarian ideals.In one way or another we should take a look at the stats. The earths resources are running out. A dictatorship may come about if techno-spirituality or spiro-technology does not come in first.Whether this police and Illuminati controlled state runs by Huxley; Orwell or Mrs. Atwood. It looks; sounds; and feels to me very much like it will happen.I; like you the reader will have to wait...
10,9562910334,1984,,A20RHRHAZ2YE1G,Chris Florian,1/1,5.0,1016582400,1984 Review,"...1984 is about totalitarianism. It is about a society ruled by a dictator named Big Brother. The thought police carefully scrutinize everyone in the society. They arrest you if you show signs of rebellion or dangerous behavior. Everyone is under constant observation by devices called telescreens; devices that are like two way TVs. One of the points of their society is to make everybody the same. They are working to destroy all things that are individual about people. They also destroy all evidence about the past. They invent and change events so that they are made to look good. They have abolished marriage in the common meaning of the word. You may only get married if you do not have any interest in the person. The main Character, Winston, questions this society. He longs for a time in which people had freedom. He starts a journal, a crime punishable with death, about the things he feels is wrong with the society. He meets a woman named Julia and they begin a secret affair. They find hideaways in the woods and go there separately because if they are seen too often together the thought police will get curious and investigate. They get a room over an antique shop in a poor neighborhood and use that to meet in. Eventually they meet up with a man named O'Brien who asks them to join the brotherhood, an anti Big Brother organization. O'Brien turns out to be a member of the thought police in disguise and they are arrested. They are tortured and made to confess everything. When they are released, they have no strong feelings for each other anymore and are for the rule of Big Brother.I think the significance of this story is to bring to attention the dangers of dictatorships. What Orwell did with his novel was create a hypothetical situation representing what could come if we are not careful. This book was written at a very tumultuous time in history where there were many emerging dictators. This book is Orwell's warning to society."
11,9562910334,1984,,,,1/1,5.0,924220800,"A TERRIFYING VISION OF THE FUTURE, SCARY AND PROVOCATIVE","An unforgettable book. A wonderful respite and a refreshing alternaive from all the modern every-day reads, I would say. What makes this book so good is the character development and the sudden events which are totally unexpected. The book is unpredictable and there are always new twists and turns to explore. George Orwell created a virtual city and his own political parties and ideas perfectly and they seamlessly bind together to make this the most substantial book I have ever read. Possibly the best as well.Big Brother is watching you so read the book!"
12,9562910334,1984,,A27ODAWWIDYU9T,Alice,2/2,3.0,1346803200,Good book for its time,This book was prophetic in many ways. The ideas of Big Brother and War is Peace described what society was and was developing into. The bleakness of the story adds to its futuristic vision. I recommend this book to those who analyze society and governments.
13,9562910334,1984,,A2VOUYD2VO9GHB,"S. Koterbay ""Professor of Art History""",2/3,5.0,1256342400,"Orwell was right, but","That's not why you should read this edition, since any good copy of 1984 is going to feel like a poignant precursor to the mess we live in now (as for those machine mentioned in a recent review, I don't think that's the problem: rather, it's the speed that digital processing of stock market manipulation allows that is truly becoming one of the worst problems negatively affecting the world economy today).No, the reason to read this edition is for the Pynchon foreword! Pynchon's voice has been, since ""Gravity's Rainbow"" almost the inheritance of 1984; as a dislocation of the predictiveness of the Orwellian text, it also has functioned as a panacea to this nightmare we live on, precisely because Pynchon's language doesn't allow for any concreteness. Go read ""Gravity's Rainbow"" then go read ""Inherent Vice"" (or vice-versa, since the latter is infinitely easier to read than the former), and get a taste of the way the world should be."
14,9562910334,1984,,A2WHQEDEOKKY7F,"Beth Chalfin ""kid in the glasses""",3/4,4.0,1182643200,1984 - did it turn out any better?,"This is one piece of fiction that is too close to a potential reality. Of course, because it is fiction there are slight exaggerations, but overall this novel takes you into a world that is actually in the past. When reading this novel, keep asking yourself is this possible? If you say no, perhaps it is. Telescreens-->television?This novel is one that will awaken your senses, yet, you may not find yourself smiling. It is a serious read, but one that gets you to think and question."
