CATEGORY: ADMINISTRATIVE, CODE: 56520, DESCRIPTION: Court Reporting Service., RATE: 0.61
CATEGORY: ADMINISTRATIVE, CODE: 67039, DESCRIPTION: Document Preparation Services., RATE: 0.61
CATEGORY: ADMINISTRATIVE, CODE: 46183, DESCRIPTION: Offices--Answering Services., RATE: 0.61
CATEGORY: ADVERTISING, CODE: 19036, DESCRIPTION: Advertising Sign Companies--Outdoor., RATE: 5.31
CATEGORY: ADVERTISING, CODE: 93221, DESCRIPTION: Mailing or Addressing Cos.--Direct Mailing Companies., RATE: 5.31
CATEGORY: ADVERTISING, CODE: 31665, DESCRIPTION: Mailing or Addressing Cos.--Mailing List Compiling Services/Mailing List Publishers., RATE: 5.31
CATEGORY: ADVERTISING, CODE: 87298, DESCRIPTION: Offices--Advertising and Related Services., RATE: 5.31
CATEGORY: ARTISAN CONTRACTORS, CODE: 27913, DESCRIPTION: Air Conditioning Systems or Equipment--Dealers or Distributors and Installation - Servicing or Repair., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 14957, DESCRIPTION: Alarms and Alarm Systems--Installation - Servicing or Repair., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 74309, DESCRIPTION: Appliances and Accessories--Installation - Servicing or Repair--Commercial., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 34960, DESCRIPTION: Appliances and Accessories--Installation - Servicing or Repair--Household., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 46134, DESCRIPTION: Audio Video Equipment Installation - Service or Repair., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 81862, DESCRIPTION: Cabinet and Countertop Installation and Repair., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 20090, DESCRIPTION: Carpentry., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 43490, DESCRIPTION: Carpentry--Construction of Residential Property Not Exceeding Three Stories in Height., RATE: 2.35
CATEGORY: ARTISAN CONTRACTORS, CODE: 20365, DESCRIPTION: Carpentry--Interior., RATE: 2.35
